Clave,Estado,Municipio,"Índice de marginación escala 
0 a 100",Grado de marginación,Población total (2010),"PIB 
Estatal
(2008=100)",Pobreza (Miles de personas),Pobreza extrema (Miles de personas),Pobreza moderada (Miles de personas),Población con ingreso inferior a la línea de bienestar,Población con ingreso inferior a la línea de bienestar mínimo,"Rezago educativo
(Miles de personas)","Carencia por acceso a los servicios de salud
(Miles de personas)","Carencia por acceso a la seguridad social
(Miles de personas)","Carencia por calidad y espacios de la vivienda
(Miles de personas)","Carencia por acceso a los servicios básicos en la vivienda
(Miles de personas)","Carencia por acceso a la alimentación
(Miles de personas)",% de Población de 15 años o más analfabeta,% Ocupantes en viviendas sin drenaje ni excusado,% Ocupantes en viviendas sin energía eléctrica,% Ocupantes en viviendas sin agua entubada,% Ocupantes en viviendas con piso de tierra,Tasa de mortalidad infantil,"Sin derechohabiencia
(miles de personas)","Población desocupada de 12 años y más
(Miles de personas)"
1001,Aguascalientes, Aguascalientes                                   ,7.690444126,Muy bajo,797010,130468.697,242510,17987,224523,309383,81924,118912,190907,332018,37501,25530,140318,2.591088724,0.491467318,0.313299613,0.766202505,1.418601353,10.296195,178471,21020
1002,Aguascalientes, Asientos                                         ,22.44498399,Medio,45492,130468.697,32611,3907,28704,35311,15648,10313,7539,37903,5375,5626,15380,5.542152065,5.719386406,2.140146501,2.046532142,2.588183422,13.210603,6264,1087
1003,Aguascalientes, Calvillo                                         ,19.1523516,Bajo,54136,130468.697,32585,3845,28740,34136,14074,14530,11052,42511,5247,5068,10831,6.191530584,0.792592593,0.874219777,1.797394704,2.420580494,12.229187,9263,1874
1004,Aguascalientes, Cosío                                            ,20.35216678,Medio,15042,130468.697,7445,672,6773,8532,2941,2946,1984,9283,1614,803,2681,4.353657278,2.184045812,2.003994674,0.29335289,3.262316911,12.184365,2092,411
1005,Aguascalientes, Jesús María                                      ,13.41053926,Muy bajo,99590,130468.697,45964,6168,39796,54358,19738,20862,16796,53343,13115,4619,25744,3.761433047,1.256197679,1.167004856,1.434376516,2.587583642,13.972051,22241,1936
1006,Aguascalientes, Pabellón de Arteaga                              ,13.60279768,Bajo,41862,130468.697,20560,1813,18746,24581,8666,8242,8101,23703,3426,2289,9301,4.105108416,0.93534152,0.978722383,1.454737499,1.542262305,11.962835,7914,1246
1007,Aguascalientes, Rincón de Romos                                  ,15.98200639,Bajo,49156,130468.697,28789,4699,24090,32636,13388,10346,10394,32549,7226,3479,14099,4.69828405,2.226666939,0.797926615,1.221529977,3.68289893,14.117631,9586,1596
1008,Aguascalientes, San José de Gracia                               ,19.15931767,Bajo,8443,130468.697,5214,574,4639,5508,2711,1309,962,6226,642,959,1858,3.448908457,6.325947105,1.848759542,2.604228885,1.525262154,15.329348,805,420
1009,Aguascalientes, Tepezalá                                         ,20.79624552,Medio,19668,130468.697,12921,1329,11592,14581,5669,4982,2617,15567,3148,2019,4299,5.911330049,3.234336859,1.323559357,0.870229008,2.166615807,14.949909,3039,661
1010,Aguascalientes, El Llano                                         ,20.07555496,Medio,18828,130468.697,10693,1683,9010,11396,4480,4774,3366,13365,1989,2459,6908,5.766731644,6.22058744,3.026038001,1.852754754,2.304446608,12.123959,3283,387
1011,Aguascalientes, San Francisco de los Romo                        ,14.74147942,Bajo,35769,130468.697,16038,1581,14458,20239,6732,7494,7730,18106,2917,998,8780,4.741592205,0.713583368,0.528312491,0.669216061,1.562412185,13.104499,6638,743
2001,Baja California, Ensenada                                         ,12.29930218,Muy bajo,466814,348466.634,157285,24809,132476,181346,52240,88614,118551,249581,57153,98350,87383,4.773590275,0.715923821,2.621478136,8.965771414,3.821121422,15.659041,110182,7834
2002,Baja California, Mexicali                                         ,7.848811326,Muy bajo,936826,348466.634,282538,24767,257770,347796,84330,146704,275203,480330,75470,61939,153866,2.310382564,0.355539087,0.534328368,1.376104199,2.18925142,12.826566,216732,18333
2003,Baja California, Tecate                                           ,10.77886788,Muy bajo,101079,348466.634,21157,1709,19448,25342,4992,17026,29034,50770,10623,13640,14495,2.479279998,0.806011951,2.503206499,10.64382917,3.281373788,12.964419,23352,2168
2004,Baja California, Tijuana                                          ,7.145728952,Muy bajo,1559683,348466.634,525769,56736,469033,622495,162835,275362,657444,895956,166737,38435,255725,2.112219043,0.362212106,0.577693269,2.242126583,3.993682607,15.359302,531571,36944
2005,Baja California, Playas de Rosarito                               ,10.85799776,Muy bajo,90668,348466.634,30713,3048,27665,33396,7867,16042,35127,64138,13078,12538,15500,2.864734701,0.594068951,1.335084527,14.34037879,3.51188536,17.711246,27123,2092
3001,Baja California Sur , Comondú                                          ,14.11434864,Bajo,70816,89603.563,36633,4984,31648,41094,14339,16931,13054,42616,9674,13279,21419,5.436850432,1.578422445,2.079449719,3.199930499,5.420293208,13.319116,12879,615
3002,Baja California Sur , Mulegé                                           ,15.39184446,Bajo,59114,89603.563,21659,2877,18782,25975,8579,11861,7499,26354,7187,8728,14844,5.865438507,2.521853753,3.863963511,6.991694756,2.656037874,13.872205,10016,552
3003,Baja California Sur , La Paz                                           ,7.956694496,Muy bajo,251871,89603.563,69922,7900,62022,83092,23517,37165,60790,114605,19458,14956,67209,2.343456353,0.558328606,1.931229777,4.721482377,2.835769674,10.035085,54336,5055
3008,Baja California Sur , Los Cabos                                        ,11.17229154,Muy bajo,238487,89603.563,61535,12152,49383,67138,21215,39488,61187,101850,39136,19385,58529,2.886856284,0.666787822,3.354976484,10.73918261,9.703731971,12.352705,64056,7236
3009,Baja California Sur , Loreto                                           ,13.3635966,Muy bajo,16738,89603.563,9653,1828,7826,10949,4378,3822,3372,10711,3734,3470,5024,3.327970192,2.412650791,9.093181676,7.696636239,8.364661654,15.482509,3878,250
4001,Campeche, Calkiní                                          ,24.9983454,Medio,52890,654164.721,32628,10378,22249,34251,15913,13581,12989,37435,15516,25418,17333,13.11576026,20.86781183,1.441026422,6.293133031,2.79818784,12.561726,9670,316
4002,Campeche, Campeche                                         ,12.09010265,Muy bajo,259005,654164.721,93032,14903,78129,111906,29368,49656,51729,113860,33915,33177,71243,5.01981022,2.090204292,0.922757177,1.159996556,1.792792793,9.6250074,51859,2926
4003,Campeche, Carmen                                           ,14.27924573,Bajo,221094,654164.721,93849,19134,74715,102759,28711,50730,38358,122754,49923,81166,70847,5.476777708,1.670877407,1.544447992,18.54971812,4.619818284,12.84055,53674,3186
4004,Campeche, Champotón                                        ,24.44739654,Medio,83021,654164.721,48654,10322,38332,51560,19683,20937,18136,54140,17188,29479,23520,12.20505618,7.784757271,2.423075526,10.76417918,4.102638621,15.412339,19059,901
4005,Campeche, Hecelchakán                                      ,24.38988646,Medio,28306,654164.721,17488,4583,12905,18426,7285,7467,9613,19316,8766,18066,10343,11.7447657,17.92983822,2.322365622,9.55165692,2.256895081,12.715269,7494,309
4006,Campeche, Hopelchén                                        ,29.43418577,Medio,37777,654164.721,35570,14690,20880,36097,20684,15013,12510,39767,11266,36752,17177,11.94318915,15.22102304,4.481770419,5.003452488,4.170203735,15.598437,7721,170
4007,Campeche, Palizada                                         ,29.39952643,Medio,8352,654164.721,5938,1683,4255,6126,2496,3056,1473,7900,2609,4823,3565,11.46299484,4.695232348,5.233960444,32.80589443,7.332368548,11.452287,1010,134
4008,Campeche, Tenabo                                           ,26.91098237,Medio,9736,654164.721,6865,2073,4792,7059,2986,2964,1635,7307,3347,8108,3303,13.36576989,29.95880536,2.845947618,6.011548773,1.868483535,11.556778,1622,46
4009,Campeche, Escárcega                                        ,26.03491402,Medio,54184,654164.721,34104,13243,20861,35242,18975,15091,9706,37852,17470,24101,17384,12.02356686,7.789391749,3.954393771,2.6716141,7.322191272,12.231454,11986,581
4010,Campeche, Calakmul                                         ,37.15453463,Alto,26882,654164.721,20440,10980,9460,20494,14540,7978,8824,21783,9486,19366,7776,17.86907561,7.981798516,6.439931307,31.39686928,13.47991638,15.605345,8620,83
4011,Campeche, Candelaria                                       ,35.09459529,Alto,41194,654164.721,26746,10544,16202,27100,16274,11154,6628,30289,12163,18308,14040,15.77769347,13.14996694,13.93370274,15.05566181,16.10142475,14.486156,9480,201
5001,Coahuila , Abasolo                                          ,15.29282521,Bajo,1070,380884.162,398,55,343,446,135,217,506,935,25,75,180,3.916768666,0.560747664,0.281690141,2.523364486,0,13.21162,399,11
5002,Coahuila , Acuña                                            ,12.09201843,Muy bajo,136755,380884.162,41811,4829,36982,62542,17334,19789,31267,39367,9742,5569,35518,2.695306851,0.484032864,0.608137745,1.003015749,1.481845531,9.8416291,30916,3140
5003,Coahuila , Allende                                          ,9.162508039,Muy bajo,22675,380884.162,5075,216,4859,6910,1186,3592,3167,9804,773,1950,4650,2.765862091,1.042936476,0.270819228,0.777120137,0.77747141,8.3193965,3217,521
5004,Coahuila , Arteaga                                          ,19.53929404,Bajo,22544,380884.162,11051,1163,9888,13991,5431,4647,6004,13305,1251,1806,6434,6.370408425,3.874124618,1.657533016,10.15828762,3.26165197,15.832613,6286,315
